epoch,acc,auc_score,average_precision_score,f1_score,loss,precision_score,recall_score,val_acc,val_loss
0,0.9642005582698377,0.9721640867340524,0.738645684815833,0.5226282129604122,0.08783774003805406,0.8482083829130935,0.37766395855336227,0.9692129898071289,0.06866750583052635
1,0.9726124295747902,0.9448526792746896,0.7025290201576448,0.2660556641274141,0.06431708085010329,0.9465356029615615,0.15478104049838323,0.9621449393033982,0.09183729320764542
2,0.975148054835308,0.980682400706058,0.8234026874442167,0.6852270749940602,0.05649007138657761,0.83436917339727,0.5813175349841925,0.9746347498893738,0.05392346978187561
3,0.9763213476407001,0.9842974062530112,0.8138262171153469,0.6957208106058343,0.0521465479103796,0.6320988848052729,0.7735834171532777,0.9706463992595673,0.06264815829694272
4,0.9771751938191763,0.9842027214354507,0.7991116916390252,0.6076465459751587,0.04917051228234567,0.8706050920281031,0.4666876735520675,0.9727400386333466,0.056749535538256166
5,0.977582315393241,0.9856558852484469,0.840658925102939,0.717438091966875,0.04765159657382104,0.6256572797373428,0.8407757080871479,0.9706798976659775,0.06352472979575395
6,0.9782131880545711,0.9908589622786835,0.8654984381010399,0.6654502603852829,0.04575302507144859,0.9155538509782938,0.5226711783429087,0.9747589486837387,0.050640495344996456
7,0.9784945497742619,0.9886122496938206,0.8254237258528595,0.3990239476923589,0.04477822254729798,0.9510849302740206,0.25247426761628566,0.9658235371112823,0.06768488503992558
8,0.9786197209358215,0.9904701943248535,0.8442698259430894,0.7344624599798938,0.044041752475930986,0.7714787815656264,0.7008356655747155,0.9764730620384217,0.046282826140522954
9,0.9789676670568536,0.9905690671769238,0.8665204411415521,0.7561767585209586,0.04299627569874367,0.7441811660547463,0.7685654049991753,0.9761288475990295,0.04692800495773554
10,0.9792645016252756,0.9907065388953492,0.8554548065895072,0.7452008632752543,0.042279446899711366,0.7146773666423714,0.7784479689894822,0.9761677116155625,0.047110101506114006
11,0.9797342285382221,0.986795803207782,0.8074085775759471,0.7033177834926916,0.04105738167183466,0.6232614205343647,0.8069712067534927,0.9694653129577637,0.06320769358426333
12,0.9797482942481597,0.9920484916026105,0.8672896422228527,0.7588069964785498,0.04086405992298481,0.7067434767863322,0.8191512342632329,0.975181565284729,0.049692007452249526
13,0.9799914201387918,0.99111667294944,0.8591546612567164,0.7437063868305679,0.04020533498960087,0.8002384391388673,0.6946346123214961,0.9780737781524658,0.041558822207152846
14,0.979858955886948,0.991081141215008,0.8694035851845969,0.696288236003636,0.04031636110361082,0.899899993746797,0.5678143240247518,0.9759920829534531,0.047298737801611423
15,0.98021218801598,0.9891107870153737,0.8382075799129806,0.6413042100309538,0.0395057271932622,0.8815390513334906,0.503964933252632,0.974229274392128,0.050934999249875546
16,0.9804180450228802,0.9900404005211921,0.8422103597439795,0.7367874355976052,0.03874356116366434,0.7805361151441953,0.6976826533408788,0.9772209274768829,0.04393784508109093
17,0.9805123638244997,0.9911913720307886,0.8698650673375604,0.7624957339191825,0.03841518260149592,0.7973697871586837,0.7305443808074938,0.9772316461801529,0.04376078251749277
18,0.9806913695469439,0.9911097522224882,0.8565964138878126,0.7543044216297099,0.03808862285501507,0.7742858920887541,0.7353283032234681,0.9758928769826889,0.04809457361698151
19,0.980671021517022,0.9912082524150173,0.8633843819175027,0.7395558238373877,0.037933811900546274,0.6438174201167124,0.8687413827046115,0.9726073771715165,0.0582845663279295
20,0.9807838890255695,0.9881545144474384,0.8159837252455441,0.5651555248199658,0.037780550450206285,0.8797664886313097,0.4162879084703074,0.9713046199083328,0.05655519623309374
21,0.9810357168113372,0.9904827657707663,0.8549388959588743,0.6476256286213222,0.03701866988317076,0.9130764234649885,0.5017548034015391,0.9739092987775803,0.050567457117140294
22,0.9810439912190878,0.9907137889552021,0.8515006629293871,0.6981434470801742,0.03699708167807644,0.8525915766590874,0.5910702612749023,0.9766389435529709,0.04522935800254345
23,0.9811523136652138,0.9921426889327741,0.8683101383141935,0.7267967421446191,0.036724365516360026,0.8323809035675566,0.6449832211420643,0.9777705013751984,0.042352881468832496
24,0.981232618940882,0.9916882755853917,0.858911635948491,0.7538918505746997,0.03659917774269859,0.7314783522948228,0.7777223275760501,0.976285160779953,0.045903450809419155
25,0.9812613662945697,0.9929165849032581,0.8754015826845283,0.7539854880551793,0.03644669151659232,0.8148453419401176,0.7015849235122583,0.9780397570133209,0.042167815901339056
